,eventLink,eventName,eventDateString,eventLocation,eventListedFights,date,upcoming
499,http://ufcstats.com/event-details/e7ec11096eac0282,The Ultimate Fighter: Team Pulver vs. Team Penn Finale,June 23 2007,"Las Vegas, Nevada, USA",10,2007-06-23,0
500,http://ufcstats.com/event-details/5ca158b1cc9cb242,UFC 72: Victory,June 16 2007,"Belfast, Northern Ireland, United Kingdom",8,2007-06-16,0
501,http://ufcstats.com/event-details/304fcd812f12c589,UFC Fight Night: Stout vs Fisher,June 12 2007,"Hollywood, Florida, USA",9,2007-06-12,0
502,http://ufcstats.com/event-details/2e04a3b4a2011b97,UFC 71: Liddell vs Jackson,May 26 2007,"Las Vegas, Nevada, USA",9,2007-05-26,0
503,http://ufcstats.com/event-details/4604ab1de9058474,UFC 70: Nations Collide,April 21 2007,"Manchester, England, United Kingdom",10,2007-04-21,0
504,http://ufcstats.com/event-details/c1684f00c626f4c0,UFC 69: Shootout,April 07 2007,"Houston, Texas, USA",9,2007-04-07,0
505,http://ufcstats.com/event-details/a6c2f5381d575920,UFC Fight Night: Stevenson vs Guillard,April 05 2007,"Las Vegas, Nevada, USA",9,2007-04-05,0
506,http://ufcstats.com/event-details/de3ed2e152520c8d,UFC 68: The Uprising,March 03 2007,"Columbus, Ohio, USA",9,2007-03-03,0
507,http://ufcstats.com/event-details/63b65af1c5cb02cb,UFC 67: All or Nothing,February 03 2007,"Las Vegas, Nevada, USA",9,2007-02-03,0
508,http://ufcstats.com/event-details/13c4313ed0f744f3,UFC Fight Night: Evans vs Salmon,January 25 2007,"Hollywood, Florida, USA",8,2007-01-25,0
509,http://ufcstats.com/event-details/ee5df903f80c6816,UFC 66: Liddell vs Ortiz 2,December 30 2006,"Las Vegas, Nevada, USA",9,2006-12-30,0
510,http://ufcstats.com/event-details/21b8a0f5c231096f,UFC Fight Night: Sanchez vs Riggs,December 13 2006,"San Diego, California, USA",9,2006-12-13,0
511,http://ufcstats.com/event-details/3fed746acfd026dd,UFC 65: Bad Intentions,November 18 2006,"Sacramento, California, USA",9,2006-11-18,0
512,http://ufcstats.com/event-details/baf942f4bcb09894,The Ultimate Fighter: The Comeback Finale,November 11 2006,"Las Vegas, Nevada, USA",8,2006-11-11,0
513,http://ufcstats.com/event-details/13b2f59210dda9cc,UFC 64: Unstoppable,October 14 2006,"Las Vegas, Nevada, USA",8,2006-10-14,0
514,http://ufcstats.com/event-details/577ec7e108b94be3,Ortiz vs Shamrock 3: The Final Chapter,October 10 2006,"Hollywood, Florida, USA",9,2006-10-10,0
515,http://ufcstats.com/event-details/13e62d766b709aa6,UFC 63: Hughes vs Penn,September 23 2006,"Anaheim, California, USA",9,2006-09-23,0
516,http://ufcstats.com/event-details/f717b6002486f73f,UFC 62: Liddell vs Sobral,August 26 2006,"Las Vegas, Nevada, USA",9,2006-08-26,0
517,http://ufcstats.com/event-details/46c8ec317aff28ac,UFC Fight Night 6,August 17 2006,"Las Vegas, Nevada, USA",9,2006-08-17,0
518,http://ufcstats.com/event-details/f70144caea5c4c80,UFC 61: Bitter Rivals,July 08 2006,"Las Vegas, Nevada, USA",9,2006-07-08,0
519,http://ufcstats.com/event-details/445a98acb8985970,UFC Fight Night 5,June 28 2006,"Las Vegas, Nevada, USA",9,2006-06-28,0
520,http://ufcstats.com/event-details/1dab0d1d81dd06db,The Ultimate Fighter: Team Ortiz vs. Team Shamrock Finale,June 24 2006,"Las Vegas, Nevada, USA",9,2006-06-24,0
521,http://ufcstats.com/event-details/a54a35a670d8e852,UFC 60: Hughes vs Gracie,May 27 2006,"Los Angeles, California, USA",9,2006-05-27,0
522,http://ufcstats.com/event-details/03688dc3c3af3ac1,UFC 59: Reality Check,April 15 2006,"Anaheim, California, USA",9,2006-04-15,0
523,http://ufcstats.com/event-details/b361180739bed4b0,UFC Fight Night 4,April 06 2006,"Las Vegas, Nevada, USA",9,2006-04-06,0
524,http://ufcstats.com/event-details/0e9869d712e81f8f,UFC 58: USA vs Canada,March 04 2006,"Las Vegas, Nevada, USA",8,2006-03-04,0
525,http://ufcstats.com/event-details/977081bc01197656,UFC 57: Liddell vs Couture 3,February 04 2006,"Las Vegas, Nevada, USA",9,2006-02-04,0
526,http://ufcstats.com/event-details/2ee09ec2a0695eb9,UFC Fight Night 3,January 16 2006,"Las Vegas, Nevada, USA",8,2006-01-16,0
527,http://ufcstats.com/event-details/c7e9d15cfce52f1d,UFC 56: Full Force,November 19 2005,"Las Vegas, Nevada, USA",8,2005-11-19,0
528,http://ufcstats.com/event-details/31ceaf0e670c1578,The Ultimate Fighter: Team Hughes vs. Team Franklin Finale,November 05 2005,"Las Vegas, Nevada, USA",7,2005-11-05,0
529,http://ufcstats.com/event-details/271fe91f4ba9d2c5,UFC 55: Fury,October 07 2005,"Uncasville, Connecticut, USA",9,2005-10-07,0
530,http://ufcstats.com/event-details/efaf544314bb5c2e,UFC Fight Night 2,October 03 2005,"Las Vegas, Nevada, USA",7,2005-10-03,0
531,http://ufcstats.com/event-details/669a3cb6e394f515,UFC 54: Boiling Point,August 20 2005,"Las Vegas, Nevada, USA",8,2005-08-20,0
532,http://ufcstats.com/event-details/3f24c96753dbd9f9,UFC Fight Night 1,August 06 2005,"Las Vegas, Nevada, USA",8,2005-08-06,0
533,http://ufcstats.com/event-details/d3711d3784b76255,UFC 53: Heavy Hitters,June 04 2005,"Atlantic City, New Jersey, USA",8,2005-06-04,0
534,http://ufcstats.com/event-details/c933d423ebdbbbdb,UFC 52: Couture vs Liddell 2,April 16 2005,"Las Vegas, Nevada, USA",8,2005-04-16,0
535,http://ufcstats.com/event-details/fbbde91f7bc2d3c5,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,April 09 2005,"Las Vegas, Nevada, USA",9,2005-04-09,0
536,http://ufcstats.com/event-details/85d905f7c4f5a1af,UFC 51: Super Saturday,February 05 2005,"Las Vegas, Nevada, USA",9,2005-02-05,0
537,http://ufcstats.com/event-details/ce783bf73b5131f9,UFC 50: The War Of '04,October 22 2004,"Atlantic City, New Jersey, USA",7,2004-10-22,0
538,http://ufcstats.com/event-details/b4bc2e3353a770b5,UFC 49: Unfinished Business,August 21 2004,"Las Vegas, Nevada, USA",8,2004-08-21,0
