eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/fd4578cac86d75ca,"UFC Fight Night: Moraes vs. SandhagenOctober 10, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/805ad1801eb26abb,"UFC Fight Night: Holm vs. AldanaOctober 03, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/e69c5ce12f4e762b,"UFC 253: Adesanya vs. CostaSeptember 26, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/831b937811804dad,"UFC Fight Night: Covington vs. WoodleySeptember 19, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/9c37681096c6f3a9,"UFC Fight Night: Waterson vs. HillSeptember 12, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/542db012217ecb83,"UFC Fight Night: Overeem vs. SakaiSeptember 05, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/e29cf523ebd155c5,"UFC Fight Night: Smith vs. RakicAugust 29, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/af1e5c64b8663aa0,"UFC Fight Night: Munhoz vs. EdgarAugust 22, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/bda04c573563cc2e,"UFC 252: Miocic vs. Cormier 3August 15, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/7a82635ffa9b59fe,"UFC Fight Night: Lewis vs. OleinikAugust 08, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/3746e21bb508391a,"UFC Fight Night: Brunson vs. ShahbazyanAugust 01, 2020","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/dde70a112e053a6c,"UFC Fight Night: Whittaker vs. TillJuly 25, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/ddbd0d6259ce57cc,"UFC Fight Night: Figueiredo vs. Benavidez 2July 18, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/18f5669a92e99d92,"UFC Fight Night: Kattar vs. IgeJuly 15, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/dbd198f780286aca,"UFC 251: Usman vs. MasvidalJuly 11, 2020","Abu Dhabi, Abu Dhabi, United Arab Emirates"
http://ufcstats.com/event-details/c32eab6c2119e989,"UFC Fight Night: Poirier vs. HookerJune 27, 2020","Las Vegas, Nevada, USA"
